job_id,head,relation,tail
3901988995,leasing manager,requires,marketing
3895843315,sales manager,requires,marketing
3895843315,sales manager,requires,saas memberships
3895843315,sales manager,requires,consulting services
3894891512,software engineer,requires,java
3894891512,software engineer,requires,php
3894891512,software engineer,requires,javascript
3894891512,software engineer,requires,html
3894891512,software engineer,requires,css
3904952328,accountant,requires,high school diploma or equivalent
3904952328,accountant,requires,experience with microsoft excel
3900985175,inside licensed sales agent,requires,high school diploma or ged
3905297438,delivery specialist,requires,high school diploma or equivalent
3905297438,delivery specialist,requires,valid state driver's license and good driving record
3905297438,delivery specialist,requires,ability to lift and move product
3894549714,accounting clerk,requires,associate degree
3901923670,maintenance technician,requires,painting
3904921636,d365 bc systems & process lead,requires,5+ years of experience
3904921636,d365 business central,related_to,power bi
3904921636,d365 business central,related_to,ipaas
3891288853,certified nursing assistant,requires,national provider bls - american heart association
3901693878,talent acquisition consultant,requires,marketing strategies
3901693878,talent acquisition consultant,requires,professional communication skills
3901693878,talent acquisition consultant,requires,self-discipline
3901693878,talent acquisition consultant,requires,motivation
3901693878,talent acquisition consultant,requires,computer proficiency
3884847602,paralegal,requires,excellent communication skills
3884847602,paralegal,requires,ability to work in a fast-paced environment
3906225952,sr. account manager,related_to,customer relationships
3902834317,retail sales field representative,requires,problem-solving skills
3902361021,revit consultant,requires,revit
3902361021,revit,related_to,autocad
3895598370,customer service supervisor,requires,bachelor's degree
3888944152,transformation lead,requires,change management
3888944152,transformation lead,requires,project management
3904390561,maintenance technician,requires,electrical
3904390561,maintenance technician,requires,painting
3902919049,community manager,requires,manage
3902919049,community manager,requires,train
3902919049,community manager,requires,administer
3902919049,community manager,requires,process
3902919049,community manager,requires,audit
3902788603,licensed practical nurse,requires,cpr certification
3889712267,teacher,requires,esl certification
3886880724,project coordinator,requires,excellent communication and analytical skills
3888973757,registered nurse,requires,critical thinking skills
3888973757,registered nurse,requires,collaboration
3888973757,registered nurse,requires,flexibility
3902346177,construction superintendent,requires,bachelors degree
3901352887,recruiter,requires,bachelor's degree
3901352887,recruiter,requires,effective communication skills
3901352887,recruiter,requires,strong organizational and interpersonal skills
3906094536,national sales director,requires,sales
3885106274,manufacturing engineering intern,requires,microsoft office products
3889276830,registered nurse,requires,active rn license
3889276830,registered nurse,requires,degree from accredited nursing program
3894548378,child life specialist,requires,collaboration
3894548378,child life specialist,requires,implementation
3894548378,child life specialist,requires,evaluation
3889756599,technology investment banking analyst,requires,financial modeling
3889756599,technology investment banking analyst,requires,business development
3889756599,technology investment banking analyst,requires,excellent attention to detail
3902342298,field sales representative,requires,travel
3901667913,business analyst,related_to,crm
3901667913,business analyst,classified_as,remote
3891291088,associate team leader,requires,customer service experience
3891291088,associate team leader,requires,computer proficient
3891291088,associate team leader,requires,ms office
3891291088,associate team leader,requires,positive attitude
3891291088,associate team leader,requires,flexible work schedule
3904962827,onsite maintenance technician,requires,travel
3901958239,driver,requires,dot regulations
3885822256,commercial insurance select business broking specialist,requires,remote
3904948227,cloud engineer,requires,java
3904948227,cloud engineer,requires,j2ee
3903443604,ruby developer,requires,software development
3903443604,ruby developer,requires,programming
3906252318,tax professional,requires,bachelor's degree
3906252318,tax professional,requires,cpa license
3900980572,technical recruiter iii,requires,bachelor's degree
3905255940,human resources generalist,requires,recruiting
3905255940,human resources generalist,requires,employee relations
3905255940,human resources generalist,requires,performance management
3905255940,human resources generalist,requires,compensation
3898165123,technical developer,requires,related field
3898165123,technical developer,requires,ability to work independently
3895546114,behavioral health associate i,requires,patient care
3901168464,truck driver,requires,class a or b cdl
3901168464,truck driver,requires,hazmat and tanker endorsement
3901168464,truck driver,requires,good driving record
3901168464,truck driver,requires,physically able to lift up to 60 pounds
3903881365,it pc/printer technician,requires,mechanical aptitude
3885832273,account executive,requires,process
3902748498,creative director,requires,web
3902748498,creative director,requires,presentation
3906089341,catering and events director,requires,client_relationship_management
3906089341,catering and events director,requires,sales
3905329272,rn icu,requires,graduation from an accredited nursing program
3898173908,rolloff driver - class a cdl,requires,excellent communication skills
3898173908,rolloff driver - class a cdl,requires,customer service skills
3898173908,rolloff driver - class a cdl,requires,valid driver's license
3895559592,public education specialist,requires,bachelor's degree
3905299722,field service technician,requires,troubleshooting
3905299722,field service technician,requires,maintenance
3898134819,2nd press operator,requires,attention to detail
3898134819,2nd press operator,requires,communication skills
3902372137,accounting clerk,requires,excel
3902352793,project manager,requires,technical credentials and certifications
3902352793,project manager,requires,flexible vacation policy
3902352793,project manager,requires,educational assistance
3901940870,fleet manager,requires,customer communication
3903802602,data analyst strategist and technology engineer,requires,sql
3903802602,data analyst strategist and technology engineer,requires,python
3903802602,data analyst strategist and technology engineer,requires,r
3903802602,data analyst strategist and technology engineer,requires,tableau
3903802602,data analyst strategist and technology engineer,requires,power bi
3884896065,surgical scheduler,requires,knowledge of medical terminology
3903485889,delivery truck driver,requires,at least 21 years of age
3903485889,delivery truck driver,requires,dot medical card
3887855568,ct technologist,related_to,oral contrast
3887855568,ct technologist,related_to,patient care
3904391422,communications & public relations specialist,requires,bachelors degree
3905340100,medical assistant,requires,ambulatory setting
3905340100,medical assistant,requires,communication skills
3905340100,medical assistant,requires,attention to detail
3905210252,data center operations manager,requires,experience in the internet industry
3905210252,data center operations manager,requires,facilities engineering
3905210252,data center operations manager,requires,data center operations
3904938888,property accountant,requires,gaap
3904727265,speech language pathologist,requires,current cpr certification
3904724157,retail guest experience specialist,requires,world class customer service
3904724157,retail guest experience specialist,requires,low pressure
3904724157,retail guest experience specialist,requires,honest
3904724157,retail guest experience specialist,requires,gimmick free
3904724157,retail guest experience specialist,requires,enjoyable shopping experience
3905394585,behavior technician,requires,passionate about helping children with autism
3905394585,behavior technician,requires,18+ years of age
3905394585,behavior technician,requires,high school diploma or ged
3905394585,behavior technician,requires,"cpr, first aid certification"
3905394585,behavior technician,requires,tuberculosis test
3901496931,capital markets pm,requires,project management
3901496931,capital markets pm,requires,communication skills
3901496931,capital markets pm,requires,risk management skills
3902743937,"coordinator, rx monitoring",requires,associate degree
3900076738,supply chain analyst,requires,sap
3901937315,frontend developer,requires,python
3901937315,frontend developer,requires,javascript
3901937315,frontend developer,requires,html
3901937315,frontend developer,requires,c++
3901937315,frontend developer,requires,c#
3894918029,director of quality control,requires,quality control
3905326818,assistant branch manager,requires,product knowledge
3905326818,assistant branch manager,requires,exceptional service
3905326818,assistant branch manager,requires,good judgment
3899530316,senior test development engineer,requires,cypress
3899530316,senior test development engineer,requires,selenium
3899530316,senior test development engineer,requires,nodejs
3899530316,senior test development engineer,requires,html5
3899530316,senior test development engineer,requires,jira
3894893387,senior business account executive 3,related_to,customer satisfaction
3894893387,senior business account executive 3,related_to,comcast commercial internet
3894560863,software developer,requires,python
3894560863,software developer,requires,sql
3887996321,iam operations support admin,requires,collaborate with cross-functional teams
3885112185,tax project manager,related_to,sap
3901671884,building management systems engineer,requires,programming
3901671884,building management systems engineer,requires,automation
3901671884,niagara platform,related_to,programming
3905834120,devops engineer,requires,azure
3905834120,devops engineer,requires,windows
3905834120,devops engineer,requires,bachelors degree
3902326073,assistant deli bakery manager,requires,leadership
3902326073,assistant deli bakery manager,requires,motivation
3902326073,assistant deli bakery manager,requires,communication skills
3902326073,assistant deli bakery manager,requires,customer service skills
3902326073,assistant deli bakery manager,requires,financial analysis skills
3900964362,director of sales,requires,high work ethic and self-initiative
3905683727,stocking 2 coach,requires,leadership
3905683727,stocking 2 coach,requires,communication skills
3905683727,stocking 2 coach,requires,customer service skills
3887721181,clinic patient accounts rep,requires,computer literacy
3887721181,clinic patient accounts rep,requires,hipaa regulations
3888490345,engineer ii,requires,integrity
3887896252,veterinary technician,related_to,dependability
3889283240,registered nurse - emergency room,requires,active rn license
3889283240,registered nurse - emergency room,requires,degree from accredited nursing program
3889283240,registered nurse - emergency room,requires,bls
3889283240,registered nurse - emergency room,requires,acls
3889283240,registered nurse - emergency room,requires,pals
3903474862,hris analyst (mid-level),requires,workday recruiting configuration
3899534592,financial planning and analysis associate,requires,financial analysis
3899534592,financial planning and analysis associate,requires,data analysis
3899534592,financial planning and analysis associate,requires,budgeting
3899534592,financial planning and analysis associate,requires,forecasting
3899534592,financial planning and analysis associate,requires,planning
3904961382,channel performance management,requires,distribution
3904961382,channel governance,related_to,legal
3906251475,tax manager,requires,cpa license
3906233162,manufacturing technician,requires,ppe
3901357170,web developer,requires,python
3901357170,web developer,requires,javascript
3901357170,web developer,requires,html
3901357170,web developer,requires,c++
3901357170,web developer,requires,c#
3901358468,news media desk coordinator,requires,excellent communication skills
3902914683,retail sales associate,requires,macy's magic
3902914683,retail sales associate,requires,macy's shopper
3902914683,retail sales associate,requires,macy’s merchandise and services
3887878015,assistant property manager,requires,basic computer skills
3906259479,bartender/mixologist,requires,math skills
3906259479,bartender/mixologist,requires,ability to lift up to 50 pounds
3884809136,plant controller,requires,bachelors_degree
3887873757,benefits consultant,requires,benefits
3887873757,benefits consultant,requires,implementation
