job_id,head,relation,tail
3901988995,leasing manager,requires,marketing
3901988995,leasing manager,requires,local market knowledge
3901988995,leasing manager,requires,resident retention programs
3901988995,leasing manager,requires,leasing and marketing
3901988995,leasing manager,requires,sales and marketing strategies
3901988995,leasing manager,requires,staff compliance and consistency
3899528121,pega developer,requires,pegarules engine
3899528121,pega developer,requires,pega customer decision hub
3899528121,pega developer,requires,pega financial frameworks
3899528121,pega developer,requires,prpc
3899528121,pegarules engine,related_to,pega developer
3899528121,pega customer decision hub,related_to,pega developer
3899528121,pega financial frameworks,related_to,pega developer
3899528121,pega customer decision hub,classified_as,enterprise application system
3899528121,next best action designer,related_to,pega customer decision hub
3895567457,warehouse associate,requires,forklift equipment
3895843315,sales manager,requires,marketing
3895843315,sales manager,requires,saas memberships
3895843315,sales manager,requires,consulting services
3895843315,sales manager,related_to,channel partners
3895843315,sales manager,related_to,strategic alliances
3895843315,sales manager,related_to,chambers of commerce
3895843315,sales manager,related_to,"state, trade, and professional associations"
3895843315,sales manager,classified_as,top-level earnings
3895843315,sales manager,classified_as,high energy
3895843315,sales manager,classified_as,self-disciplined
3895843315,sales manager,classified_as,self-starter
3895843315,sales manager,classified_as,positive attitude
3895843315,sales manager,classified_as,goal-oriented
3895843315,sales manager,classified_as,lifelong quest for personal development and career growth
3895843315,sales manager,classified_as,persuasive communication skills
3895843315,sales manager,classified_as,comfortable speaking in front of groups
3895843315,sales manager,classified_as,top-notch consultative sales skills
3894891512,software engineer,requires,java
3894891512,software engineer,requires,php
3894891512,software engineer,requires,javascript
3894891512,software engineer,requires,html
3894891512,software engineer,requires,css
3894891512,software engineer,requires,related technologies
3894891512,software engineer,requires,strong relational database skills
3894891512,software engineer,requires,excellent object-oriented programming and design abilities
3894891512,software engineer,requires,solid foundation in computer science fundamentals
3894891512,software engineer,requires,understanding of enterprise-level architecture
3894891512,software engineer,requires,"experience with high-volume, multi-tiered, distributed critical applications"
3894891512,software engineer,requires,knowledge of mvc and modern web frameworks
3894891512,software engineer,requires,creativity in developing new applications and maintaining existing ones
3894891512,software engineer,requires,excellent organizational and communication skills
3894891512,software engineer,requires,strong relationship-building skills
3894891512,software engineer,requires,"eagerness to work in a dynamic, fast-paced environment"
3894891512,software engineer,requires,agile methodologies and scrum experience
3904952328,accountant,requires,general accepted accounting principles
3904952328,accountant,requires,high school diploma or equivalent
3904952328,accountant,requires,1+ years of experience in financial services industry
3904952328,accountant,requires,3+ years of computer experience
3904952328,accountant,requires,experience with microsoft excel
3904952328,accountant,related_to,v-lookup
3904952328,accountant,related_to,h-lookup
3904952328,accountant,related_to,concatenating formulas
3904952328,accountant,related_to,conditional formatting
3904952328,accountant,related_to,pivot tables
3901677089,registered nurse (rn),requires,assists rn with daily care of patients
3901677089,registered nurse (rn),requires,measures and documents blood pressures
3901677089,registered nurse (rn),requires,"participates in admission, transfer and discharge process"
3901677089,registered nurse (rn),requires,performs purposeful rounding
3901677089,registered nurse (rn),requires,performs various patient positioning and transporting duties
3901677089,registered nurse (rn),requires,performs tasks related to nutritional needs of the patient
3901677089,registered nurse (rn),requires,ensures special patient supplies and appliances are provided and maintained
3900985175,inside licensed sales agent,requires,property & casualty license
3900985175,inside licensed sales agent,requires,high school diploma or ged
3900985175,inside licensed sales agent,requires,"working knowledge of auto policies, underwriting"
3904725035,central sterile endoscope processing technician 2,requires,personal protective equipment
3904725035,central sterile endoscope processing technician 2,requires,instrument tracking software
3904725035,central sterile endoscope processing technician 2,requires,atp testing
3904725035,central sterile endoscope processing technician 2,related_to,sterilizer testing
3905297438,delivery specialist,requires,high school diploma or equivalent
3905297438,delivery specialist,requires,valid state driver's license and good driving record
3905297438,delivery specialist,requires,ability to lift and move product
3894549714,accounting clerk,requires,associate degree
3894549714,accounting clerk,requires,two years of related or equivalent work experience
3894549714,accounting clerk,requires,strong math / accounting skills
3894549714,accounting clerk,requires,high degree of professionalism
3894549714,accounting clerk,requires,strong written and interpersonal communication skills
3901923670,maintenance technician,requires,appliance maintenance
3901923670,maintenance technician,requires,electrical maintenance
3901923670,maintenance technician,requires,plumbing maintenance
3901923670,maintenance technician,requires,painting
3901923670,maintenance technician,related_to,property appearance/upkeep
3901923670,maintenance technician,related_to,laundry room maintenance
3904388317,consulting and outsourcing intern,requires,general knowledge of accounting principles and reporting of financial data
3904388317,consulting and outsourcing intern,requires,proficient with microsoft (ms) windows and office products
3904388317,consulting and outsourcing intern,requires,reliable transportation and willingness to travel to client sites
3904921636,d365 bc systems & process lead,requires,d365 business central experience
3904921636,d365 bc systems & process lead,requires,5+ years of experience
3904921636,d365 bc systems & process lead,requires,"ability to work onsite 5 days a week in woodridge, il"
3904921636,d365 bc systems & process lead,requires,functional expertise in d365 business central
3904921636,d365 bc systems & process lead,requires,background in the operations and supply chain modules
3904921636,d365 bc systems & process lead,requires,manufacturing industry experience
3904921636,d365 business central,related_to,power bi
3904921636,d365 business central,related_to,ipaas
3904921636,d365 business central,related_to,celigo
3904921636,d365 business central,related_to,docuware
3904921636,d365 business central,related_to,magento
3891288853,certified nursing assistant,requires,coursework/training moab i/ii
3891288853,certified nursing assistant,requires,coursework/training satisfactory completion of training for nursing assistants
3891288853,certified nursing assistant,requires,california nursing assistant certification license
3891288853,certified nursing assistant,requires,national provider bls - american heart association
3891288853,certified nursing assistant,requires,california fire and life safety card - national organization
3891288853,certified nursing assistant,requires,sufficient clinical experience
3903881517,corrections licensed practical nurse,requires,current practical nursing license
3903881517,corrections licensed practical nurse,requires,current registered nursing license
3903881517,corrections licensed practical nurse,requires,one year experience in corrections
3903881517,corrections licensed practical nurse,related_to,health quality improvement program
3903881517,corrections licensed practical nurse,related_to,competency program
3903881517,corrections licensed practical nurse,related_to,security guidelines and protocol
3903881517,corrections licensed practical nurse,related_to,ingress/egress policies
3902351289,peoplesoft technical support engineer,requires,peopletools: app designer - peoplecode
3902351289,peoplesoft technical support engineer,requires,peopletools: application engine
3902351289,peoplesoft technical support engineer,requires,sqr
3902351289,peoplesoft technical support engineer,requires,data mover
3902351289,peoplesoft technical support engineer,requires,security setup
3902351289,peoplesoft technical support engineer,related_to,peopletools: peoplecode
3902351289,peoplesoft technical support engineer,related_to,peopletools: application engine
3902351289,peoplesoft technical support engineer,related_to,sqr
3902351289,peoplesoft technical support engineer,related_to,data mover
3902351289,peoplesoft technical support engineer,related_to,security setup
3902351289,peoplesoft technical support engineer,classified_as,peoplesoft enterprise financials
3902351289,peoplesoft technical support engineer,requires,oracle sql
3902351289,peoplesoft technical support engineer,related_to,peoplesoft reporting tools – query
3902351289,peoplesoft technical support engineer,related_to,peoplesoft reporting tools – bi publisher
3902351289,peoplesoft technical support engineer,related_to,peoplesoft reporting tools – nvision
3902351289,peoplesoft technical support engineer,related_to,peoplesoft finance experience with purchasing
3901693878,talent acquisition consultant,requires,marketing strategies
3901693878,talent acquisition consultant,requires,professional communication skills
3901693878,talent acquisition consultant,requires,self-discipline
3901693878,talent acquisition consultant,requires,motivation
3901693878,talent acquisition consultant,requires,computer proficiency
3901693878,talent acquisition consultant,requires,flexible hours
3901693878,talent acquisition consultant,requires,ambition
3901693878,talent acquisition consultant,requires,positive attitude
3901693878,talent acquisition consultant,requires,sincere interest in personal growth
3901693878,talent acquisition consultant,requires,innovative problem-solving skills
3884847602,paralegal,requires,strong knowledge of law and legal procedures
3884847602,paralegal,requires,experience in legal document preparation
3884847602,paralegal,requires,excellent communication skills
3884847602,paralegal,requires,proficiency in conducting research
3884847602,paralegal,requires,ability to review and analyze documents
3884847602,paralegal,requires,attention to detail and organization skills
3884847602,paralegal,requires,ability to work in a fast-paced environment
3884847602,paralegal,related_to,personal injury law
3884847602,paralegal,related_to,criminal defense law
3906225952,sr. account manager,requires,communications systems
3906225952,sr. account manager,requires,u.s. federal government dod accounts
3906225952,sr. account manager,related_to,u.s. federal government dod
3906225952,sr. account manager,related_to,u.s. federal government va
3906225952,sr. account manager,related_to,u.s. federal government doe
3906225952,sr. account manager,related_to,eastern us region
3906225952,sr. account manager,related_to,motorola solutions business model
3906225952,sr. account manager,related_to,motorola solutions product portfolio
3906225952,sr. account manager,related_to,customer and partners
3906225952,sr. account manager,related_to,account specific strategies
3906225952,sr. account manager,related_to,customer relationships
3906225952,sr. account manager,related_to,multiple levels and functions
3906225952,sr. account manager,related_to,extended motorola team
3906225952,sr. account manager,related_to,account's strategy
3906225952,sr. account manager,related_to,business imperatives
3906225952,sr. account manager,related_to,top opportunities
3884805761,truck driver,requires,cdl class b
3902834317,retail sales field representative,requires,superior listening skills
3902834317,retail sales field representative,requires,intelligent
3902834317,retail sales field representative,requires,superior consultative selling skills
3902834317,retail sales field representative,requires,needs assessment skills
3902834317,retail sales field representative,requires,problem-solving skills
3902834317,retail sales field representative,requires,integrative thinking
3894887697,manufacturing engineering technician,requires,good dexterity
3894887697,manufacturing engineering technician,requires,handle small sensitive parts
3894887697,manufacturing engineering technician,requires,learn to operate new tools
3894887697,manufacturing engineering technician,requires,learn new chemical processing steps
3894887697,manufacturing engineering technician,requires,identify sources of variability
3894887697,manufacturing engineering technician,requires,solve problems
3894887697,manufacturing engineering technician,requires,organize projects and workflow
3894887697,manufacturing engineering technician,requires,work independently
3894887697,manufacturing engineering technician,requires,good team player
3894887697,manufacturing engineering technician,related_to,"work closely with engineers, scientists, and inventors"
3894887697,manufacturing engineering technician,classified_as,have a working knowledge of microsoft office
3902361021,revit consultant,requires,revit
3902361021,revit consultant,requires,modeling experience
3902361021,revit,related_to,autocad
3902361021,revit consultant,classified_as,mechanical or engineering field firm
