job_id,head,relation,tail
3901988995,leasing manager,requires,marketing
3901988995,leasing manager,requires,resident retention programs
3901988995,leasing manager,requires,leasing and marketing
3901988995,leasing manager,requires,sales and marketing strategies
3899528121,pega customer decision hub,classified_as,enterprise application system
3895567457,warehouse associate,requires,forklift equipment
3895843315,sales manager,requires,marketing
3895843315,sales manager,requires,saas memberships
3895843315,sales manager,related_to,channel partners
3895843315,sales manager,related_to,strategic alliances
3895843315,sales manager,classified_as,goal-oriented
3895843315,sales manager,classified_as,lifelong quest for personal development and career growth
3895843315,sales manager,classified_as,persuasive communication skills
3894891512,software engineer,requires,java
3894891512,software engineer,requires,php
3894891512,software engineer,requires,javascript
3894891512,software engineer,requires,css
3894891512,software engineer,requires,strong relational database skills
3894891512,software engineer,requires,excellent object-oriented programming and design abilities
3894891512,software engineer,requires,excellent organizational and communication skills
3894891512,software engineer,requires,strong relationship-building skills
3894891512,software engineer,requires,agile methodologies and scrum experience
3904952328,accountant,requires,general accepted accounting principles
3904952328,accountant,requires,1+ years of experience in financial services industry
3904952328,accountant,requires,experience with microsoft excel
3904952328,accountant,related_to,pivot tables
3901677089,registered nurse (rn),requires,measures and documents blood pressures
3901677089,registered nurse (rn),requires,performs various patient positioning and transporting duties
3901677089,registered nurse (rn),requires,performs tasks related to nutritional needs of the patient
3901677089,registered nurse (rn),requires,ensures special patient supplies and appliances are provided and maintained
3900985175,inside licensed sales agent,requires,"working knowledge of auto policies, underwriting"
3904725035,central sterile endoscope processing technician 2,requires,personal protective equipment
3894549714,accounting clerk,requires,strong math / accounting skills
3894549714,accounting clerk,requires,strong written and interpersonal communication skills
3901923670,maintenance technician,requires,appliance maintenance
3901923670,maintenance technician,requires,plumbing maintenance
3901923670,maintenance technician,requires,painting
3904388317,consulting and outsourcing intern,requires,general knowledge of accounting principles and reporting of financial data
3904388317,consulting and outsourcing intern,requires,proficient with microsoft (ms) windows and office products
3904388317,consulting and outsourcing intern,requires,reliable transportation and willingness to travel to client sites
3904921636,d365 bc systems & process lead,requires,background in the operations and supply chain modules
3903881517,corrections licensed practical nurse,requires,current practical nursing license
3903881517,corrections licensed practical nurse,related_to,security guidelines and protocol
3902351289,peoplesoft technical support engineer,requires,oracle sql
3901693878,talent acquisition consultant,requires,marketing strategies
3901693878,talent acquisition consultant,requires,professional communication skills
3901693878,talent acquisition consultant,requires,motivation
3901693878,talent acquisition consultant,requires,flexible hours
3884847602,paralegal,requires,strong knowledge of law and legal procedures
3884847602,paralegal,requires,experience in legal document preparation
3884847602,paralegal,requires,excellent communication skills
3884847602,paralegal,requires,proficiency in conducting research
3884847602,paralegal,requires,attention to detail and organization skills
3884847602,paralegal,related_to,criminal defense law
3906225952,sr. account manager,requires,communications systems
3906225952,sr. account manager,related_to,motorola solutions business model
3906225952,sr. account manager,related_to,customer relationships
3906225952,sr. account manager,related_to,account's strategy
3906225952,sr. account manager,related_to,business imperatives
3906225952,sr. account manager,related_to,top opportunities
3894887697,manufacturing engineering technician,requires,learn new chemical processing steps
3894887697,manufacturing engineering technician,requires,solve problems
3894887697,manufacturing engineering technician,requires,organize projects and workflow
3894887697,manufacturing engineering technician,requires,work independently
3894887697,manufacturing engineering technician,related_to,"work closely with engineers, scientists, and inventors"
3894887697,manufacturing engineering technician,classified_as,have a working knowledge of microsoft office
3902361021,revit,related_to,autocad
3895598370,customer service supervisor,requires,1-2 years of logistics industry experience
3888944152,transformation lead,requires,change management
3888944152,transformation lead,requires,government contracts
3888944152,transformation lead,requires,project management
3888944152,transformation lead,related_to,supply chain modernization
3904390561,maintenance technician,requires,plumbing
3904390561,maintenance technician,requires,carpentry
3904390561,maintenance technician,requires,painting
3904390561,maintenance technician,requires,appliance service and repair
3904390561,maintenance technician,requires,hvac certification
3902919049,community manager,requires,deposit
3902919049,community manager,requires,hire
3902919049,community manager,requires,train
3902919049,community manager,requires,motivate
3902919049,community manager,requires,administer
3902919049,community manager,requires,inspect
3902919049,community manager,requires,manage_staff
3902919049,community manager,requires,audit
3902919049,community manager,requires,manage_accidents
3902919049,community manager,related_to,communication_skills
3902919049,community manager,related_to,professional_appearance
3902919049,community manager,related_to,company_policies_and_procedures
3902788603,licensed practical nurse,requires,english language proficiency
3889712267,teacher,related_to,mandarin chinese
3886880724,project coordinator,requires,excellent communication and analytical skills
3886880724,project coordinator,requires,project management knowledge and practical experience with large software project
3886880724,project coordinator,requires,knowledge of ms project and ms visio
3886880724,project coordinator,related_to,it project management
3888973757,registered nurse,requires,collaboration
3902346177,construction superintendent,requires,building construction experience
3902346177,construction superintendent,requires,4 years of building construction experience
3902346177,construction superintendent,related_to,civil and structural work
3902346177,construction superintendent,related_to,"constructions means, methods and materials"
3902346177,construction superintendent,related_to,understanding of line and grade and survey methods
3902346177,construction superintendent,related_to,knowledge of building codes and compliance
3902346177,construction superintendent,related_to,scheduling
3886841336,"representative, recovery and reinstatement",requires,places outbound follow up calls
3886841336,"representative, recovery and reinstatement",requires,reviews/processes vendor invoices
3901352887,recruiter,requires,effective communication skills
3901352887,recruiter,requires,experience working with microsoft office suite
3901352887,recruiter,requires,high-energy and passion
3906094536,national sales director,requires,sales
