pipeline,noise_type,noise_level,recall@10,mrr,degradation
Naive,deletion,0.0,0.14,0.08298667111963884,
Naive,deletion,0.05,0.125,0.08130833536864181,0.015000000000000013
Naive,deletion,0.1,0.11,0.09595136700366672,0.030000000000000013
Naive,deletion,0.2,0.085,0.08503531137653902,0.05500000000000001
Taxonomy,deletion,0.0,0.08,0.09206680584635103,
Taxonomy,deletion,0.05,0.085,0.08765159922153033,-0.0050000000000000044
Taxonomy,deletion,0.1,0.075,0.07299118220642996,0.0050000000000000044
Taxonomy,deletion,0.2,0.085,0.07703523072786413,-0.0050000000000000044
Graph-Aware,deletion,0.0,0.395,0.12504449664140416,
Graph-Aware,deletion,0.05,0.385,0.12770107228143895,0.010000000000000009
Graph-Aware,deletion,0.1,0.425,0.1360367466343597,-0.02999999999999997
Graph-Aware,deletion,0.2,0.455,0.1323074606891198,-0.06
Naive,insertion,0.0,0.13,0.10929025007729473,
Naive,insertion,0.05,0.185,0.09186152258456069,-0.05499999999999999
Naive,insertion,0.1,0.185,0.0945056350291654,-0.05499999999999999
Naive,insertion,0.2,0.205,0.07317295331189116,-0.07499999999999998
Taxonomy,insertion,0.0,0.06,0.08351902313069681,
Taxonomy,insertion,0.05,0.095,0.09745972296326735,-0.035
Taxonomy,insertion,0.1,0.095,0.07824332615453364,-0.035
Taxonomy,insertion,0.2,0.13,0.10126660869758818,-0.07
Graph-Aware,insertion,0.0,0.36,0.13082865737995691,
Graph-Aware,insertion,0.05,0.255,0.10730461696214157,0.10499999999999998
Graph-Aware,insertion,0.1,0.195,0.09295340249529675,0.16499999999999998
Graph-Aware,insertion,0.2,0.205,0.10201707013278556,0.155
