pipeline,noise_type,noise_level,recall@10,recall@5,mrr,degradation
Naive,deletion,0.0,0.94,0.94,0.6277710129278011,
Naive,deletion,0.05,0.88,0.88,0.5905278040030366,0.05999999999999994
Naive,deletion,0.1,0.885,0.885,0.5971839557186892,0.05499999999999994
Naive,deletion,0.2,0.755,0.755,0.5528756896848894,0.18499999999999994
Taxonomy,deletion,0.0,0.86,0.855,0.5890006442642941,
Taxonomy,deletion,0.05,0.8,0.795,0.517377257215258,0.05999999999999994
Taxonomy,deletion,0.1,0.82,0.82,0.5371246415430727,0.040000000000000036
Taxonomy,deletion,0.2,0.715,0.715,0.522138387831938,0.14500000000000002
Graph-Aware,deletion,0.0,0.73,0.33,0.24276298889777168,
Graph-Aware,deletion,0.05,0.74,0.415,0.24927492660426118,-0.010000000000000009
Graph-Aware,deletion,0.1,0.78,0.38,0.24308829059760387,-0.050000000000000044
Graph-Aware,deletion,0.2,0.805,0.385,0.26984513920862957,-0.07500000000000007
Naive,insertion,0.0,0.915,0.915,0.581530697243508,
Naive,insertion,0.05,0.94,0.935,0.5785290515715932,-0.02499999999999991
Naive,insertion,0.1,0.925,0.915,0.6235904262292135,-0.010000000000000009
Naive,insertion,0.2,0.93,0.91,0.5478185338743881,-0.015000000000000013
Taxonomy,insertion,0.0,0.85,0.85,0.5725140920273316,
Taxonomy,insertion,0.05,0.855,0.855,0.5820988607032815,-0.0050000000000000044
Taxonomy,insertion,0.1,0.875,0.875,0.5681897529941482,-0.025000000000000022
Taxonomy,insertion,0.2,0.865,0.865,0.5524233811003388,-0.015000000000000013
Graph-Aware,insertion,0.0,0.735,0.355,0.24809303835325358,
Graph-Aware,insertion,0.05,0.69,0.295,0.20028352593909277,0.04500000000000004
Graph-Aware,insertion,0.1,0.66,0.28,0.23966402411073187,0.07499999999999996
Graph-Aware,insertion,0.2,0.515,0.245,0.21440651089599694,0.21999999999999997
